지역본부,소속,선명,역이름,년,월,일,시,분,요일,역/열차,장소,세부장소,성별,나이,음주,세부내용,부상상태
부산경남,부산고속열차,경부선,부산고속열차,16,4,17,20,35,일,무궁화,기타,객차 출입문,남,67,무,부산역에 하차 중 열차발판과 타는 곳 사이에 실족하여 엉덩이 부분에 타박상을 입음,경상
부산경남,부전관리역,동해선,송정역,16,4,18,8,4,월,무궁화,이동통로,E/S 앞,여,24,무,타는곳으로 이동하던 중 맞이방 엘리베이트 앞에서 넘어짐,경상
부산경남,부산고속열차,경부선,부산고속열차,16,4,19,18,30,화,KTX,객실,객실 내,여,67,무,좌석에 앉으려다 바닥턱에 걸려 넘어지면서 중간 팔걸이에 갈비뼈가 부딪힘,경상
부산경남,부산고속열차,경부선,부산고속열차,16,4,22,17,0,금,무궁화,객차화장실,화장실 출입문,남,23,무,화장실 이용 중 화장실 출입문에 오른쪽 손가락 검지와 중지가 끼여 부상을 입음,경상
부산경남,울산관리역,경부선,울산역,16,4,23,16,37,토,역,E/S,남쪽 E/S,여,81,무,#162열차를 이용하려고 울산역 상선 남쪽 E/S 이용중 중심을 잃고 뒤로 넘어짐,경상
부산경남,울산관리역,경부선,울산역,16,4,26,12,40,화,역,E/S,남쪽 E/S,여,63,무,#138열차를 이용하려고 울산역 상선 남쪽 E/S 이용 중 중심을 잃고 뒤로 넘어짐,경상
부산경남,밀양관리역,경전선,진영역,16,4,27,19,55,수,역,E/S,하선 E/S,여,58,무,#1913열차 하차하여 하선 에스컬레이트 손잡이를 잡고 올라오다 세칸 정도 올라올 때 손잡이를 놓는 순간 뒤로 넘어짐,경상
부산경남,부산고속열차,경부선,VOC,16,4,14,20,30,목,KTX,화장실,화장실 내,여,61,무,화장실 이용 중 열차가 흔들려 왼쪽발목을 접질려 다침,경상
부산경남,마산열차,경전선,벌교역,16,4,30,7,32,토,무궁화,객차승강문,2호차 승강문,여,0,무,열차에 승차하는 과정에서 2호차 승강대 계단을 오르면서 앞으로 전도,경상
부산경남,부산고속열차,경부선,구포역,16,5,4,20,50,수,무궁화,객실,7호차,여,34,무,열차 객실상부 에어컨에서 오염된 물이 떨어져 의복이 훼손,대물
부산경남,부산고속열차,경부선,구포역,16,5,4,20,50,수,무궁화,객실,7호차,여,41,무,열차 객실상부 에어컨에서 오염된 물이 떨어져 의복이 훼손,대물
부산경남,부산고속열차,경부선,구포역,16,5,4,20,50,수,무궁화,객실,7호차,여,44,무,열차 객실상부 에어컨에서 오염된 물이 떨어져 의복이 훼손,대물
부산경남,부산고속열차,경부선,대구역,16,5,4,20,50,수,무궁화,객실,7호차,남,,무,열차 객실상부 에어컨에서 오염된 물이 떨어져 의복이 훼손,대물
부산경남,부산고속열차,경부선,부산역,16,5,4,20,50,수,무궁화,객실,7호차,남,,무,열차 객실상부 에어컨에서 오염된 물이 떨어져 의복이 훼손,대물
부산경남,부산관리역,경부선,부산역,16,5,4,14,0,수,무궁화,E/S,1번 E/S,여,70,무,1번 타는 곳 에스컬레이트를 이용하여 내려가던 중 뒷 따라 내려오는 고객이 캐리어를 놓치면서 앞서가던 고객의 오른쪽 발목을 덮쳐 부상,경상
부산경남,부산고속열차,경부선,대구역,16,5,5,16,53,목,무궁화,객차화장실,8호차 화장실,여,37,무,화장실 출입문에 왼쪽 네 번째 손가락이 끼임,경상
부산경남,부산고속열차,경부선,대전역,16,5,7,12,51,토,새마을,객차화장실,6호차 화장실,여,6,무,"화장실 출입문에 오른쪽 검지, 중지 손가락이 끼임",경상
부산경남,마산관리역,경전선,창원역,16,5,13,22,10,금,역,E/S,E/S 2호기,남,58,음주,만취된 상태로 에스컬레이트 역방향으로 이동중 중심을 잃어 전도,경상
부산경남,부산고속열차,경부선,부산역,16,5,15,15,30,일,KTX,객실,7호차 10D,남,,무,7호차 10D석에서 열차 이용 중 좌석테이블에 붙어있는 껌이 양복바지 하단에 묻음,대물
부산경남,부산고속열차,경부선,영등포역,16,5,16,20,35,월,무궁화,객실,3호차 33,남,66,무,3호차 33번 좌석에서 여행 중 좌석 창틀에 껌이 붙어있는 줄 모르고 기대고 있다가 잠바에 오염,대물
부산경남,부산고속열차,경부선,동대구역,16,5,18,23,5,수,KTX,객실,4호차 4B,남,62,무,테이블에 있던 커피가 쏟아져 고객의 상하의 및 가방이 오염,대물
부산경남,부산고속열차,경부선,대전역,16,5,19,22,30,목,KTX,객실출입문,11호차 출입문,남,4,무,목적지역에 내리기위해 대기 중 객실출입문에 왼쪽손이 끼여,경상
부산경남,울산관리역,경부선,울산역,16,5,21,15,43,토,역,타는곳,7호차 승강문 발판,여,52,무,#246열차 7호차 승차중 KTX발판을 헛디뎌 발 한쪽이 승강장 홈과 발판 사이에 빠지면서 종아리 부근 타박상을 입음,경상
부산경남,부산고속열차,동해선,기장역,16,5,21,18,35,토,무궁화,객실출입문,3호차,여,65,무,객실 출입문에 손가락이 끼여,경상
부산경남,울산관리역,경부선,울산역,16,5,29,14,3,일,역,E/S,E/S,여,67,무,#144열차 타기 위해 캐리어를 끌고 E/S에 오르던 중 캐리어와 몸의 거리가 멀어지면서 중심을 잃고 뒤로 전도,경상
부산경남,부산고속열차,동해선,VOC,16,6,3,11,20,금,무궁화,객실출입문,4호차 출입문,여,80,무,경주역에서 4호차 1~11번석의 단체고객으로 승차 중 4호차 들어가는 객실출입문이 닫히면서 얼굴을 부딪히고 착용한 선글라스가 파손,대물
부산경남,부산고속열차,경부선,동대구역,16,6,7,18,0,화,KTX,객실출입문,8호차 출입문,여,3,무,객실출입문에 오른손 손등이 출입문에 끼임,경상
부산경남,부산고속열차,경부선,수원역,16,6,7,12,15,화,KTX,객차화장실,1호차 화장실,여,17,무,화장실을 이용 중 화장실 출입문에 손가락이 끼임,경상
부산경남,부산고속열차,경부선,경주역,16,6,7,18,50,화,무궁화,객차승강문,객차 승강문,여,41,무,동대구역에서 승차 중이던 고객이 승강문이 닫히면서 끼여 가방끈이 떨어지고 팔에 통증을 호소,경상
부산경남,부산고속열차,경부선,부산역,16,6,9,14,40,목,무궁화,객차화장실,4호차 화장실,남,61,무,화장실 이용 중 소변기에 고여 있던 오염물이 넘쳐서 고객의 바지와 신발이 오염,대물
부산경남,부산관리역,경부선,부산역,16,6,9,16,27,목,역,맞이방,맞이방 자동발매기,남,2,무,유아가 맞이방에서 뛰어놀다 기둥 모서리 부분에 부딪혀 다침,경상
부산경남,부산고속열차,경부선,서울역,16,6,10,13,50,금,KTX,객실출입문,8호차 출입문,여,2,무,객실출입문에 오른손 손등이 끼임,경상
부산경남,부산고속열차,경부선,구포역,16,6,12,18,40,일,무궁화,객실,1호차 62호석,남,55,음주,무궁화호 제1213열차 1호차 62호석 고객이 좌석에 앉아 여행 중 좌석 밑에 발등이 끼여,경상
부산경남,울산관리역,경부선,호계역,16,6,16,17,45,목,역,타는곳,타는곳 기둥,여,2,무,"#1796 호계~경주(17:58)를 이용하기 위해 보 호자와 승강장에서 기다리던 중 부상자(홍서현, 여2세,)와 언니(홍서윤, 여7세) 가 승강장에 설치된 강관주를 잡고 돌면서 놀다가 다침",경상
부산경남,부산고속열차,경부선,광명역,16,6,17,9,52,금,KTX,객실,16호차 통로,남,56,무,열차진동에 의해 넘어지면서 의자팔걸이에 왼쪽 가슴을 부딪쳐 다침,경상
부산경남,부산관리역,경부선,예산역,16,6,24,8,20,금,역,타는곳,10번 타는곳,여,40,무,KTX 제118열차를 승차하기 위해 타는곳 10번 승강장으로 가던중 에스컬레이터 타기전 이동통로에서 우천으로 바닥이 물기가 있어 미끄러워 이동중 좌측으로 넘어짐,경상
부산경남,부산고속열차,동해선,영천역,16,6,25,15,30,토,무궁화,객차승강문,객차 승강문,남,28,무,#1785열차 15:30 분경 동대구역에서 출발 전 점검으로 승강문 개폐시험을 하는 동안 고객이 갑자기 열차에 승차하다 왼쪽 어깨 부분이 승강문에 끼인,경상
부산경남,마산열차,경전선,진영역,16,6,25,17,5,토,무궁화,객실,2호차 12번,여,,무,2호차 11번 좌석 고객이 올려 놓은 가방이 떨어짐,경상
부산경남,부산고속열차,경부선,화명역,16,6,27,16,37,월,무궁화,객차승강문,4호차 승강문,여,83,무,승강문이 닫히고 있던 중 늦게 내리면서 발목이 승강문에 끼임,경상
부산경남,울산관리역,경부선,울산역,16,6,28,14,37,화,역,E/S,E/S,남,78,무,#148열차를 타기위해 E/S를 타고 오르던 중 도중에서 어지럼증을 느끼며 중심을 잃고 뒤로 넘어짐,경상
부산경남,부산고속열차,경부선,구포역,16,6,29,16,45,수,무궁화,객실출입문,3호차 출입문,남,3,무,3호차 객실자동출입문에 오른쪽 엄지손가락 끼임,경상
부산경남,부산고속열차,경부선,부산역,16,6,29,17,50,수,KTX,객실,15호차 9D석,여,,무,선반 위 가방을 내리다가 가방이 가슴부분에 떨어짐,경상
부산경남,부산고속열차,경부선,부산고속열차,16,7,1,18,0,금,KTX,객실,7호차 13C석,남,,무,KTX 제162열차를 부산에서 대전까지 7호차 13C석을 이용하였는데 바지뒷면(엉덩이 부분)에 얼룩이 발생,대물
부산경남,부산고속열차,경부선,부산역,16,7,2,9,30,토,무궁화,객실,4호차 출입문,여,86,무,4호차 1위 객실출입문에 왼쪽 검지손가락이 끼임,경상
부산경남,진주관리역,경전선,진주역,16,7,7,21,23,토,역,E/S,E/S,여,74,무,#1943열차 이용후 진주역 에스컬레이트 1호기 이용중 앞 고객이 넘어지면서 연쇄적으로 넘어짐,경상
부산경남,마산열차,경전선,구포역,16,7,8,15,34,금,무궁화,객차화장실,3호차 화장실 앞 통로,여,73,무,"한림정역 출발 후 21호 전철기 부근에서 ATP 오동작으로 열차가 급정거 하자, 부상자는 3호차 화장실 이용 후 방송실 앞 에서 넘어짐",경상
부산경남,울산관리역,경부선,울산역,16,7,8,8,10,금,역,역광장,TMO 앞 광장,여,53,무,KTX #116 열차를 승차하기 위해 울산역 TMO 광장 앞을 지나던 최영미 고객이 잔디밭 쇠말뚝(나무고정용)에 걸려 넘어짐,경상
부산경남,부산고속열차,경부선,구포역,16,7,11,15,6,월,무궁화,기타,승강문과 타는곳 사이,여,65,무,하차 시 발을 헛디뎌 승강장과 발판사이에 빠짐,경상
부산경남,부산관리역,경부선,부산역,16,7,15,18,19,금,역,E/S,E/S,남,,무,무궁화호 열차를 이용하기 위하여 에스컬레이터(7호기)를 타고 올라오던 중 신고 있던 실리퍼가 벗겨지면서 에스컬레이터 발판 모서리에 발가락이 찍힘,경상
부산경남,마산열차,경전선,진영역,16,7,15,13,45,금,무궁화,객차화장실,4호차 화장실,남,26,무,화장실 사용 중 역류로 인하여 온몸에 오물을 뒤집어씀,대물
부산경남,부산관리역,경부선,부산역,16,7,15,17,51,금,역,E/S,9번 E/S,여,,무,9번 출구쪽 에스컬레이터를 타고 내려가던 중 캐리어를 가지고 뒤따라오던 고객(가해자)이 에스컬레이터 위에서 캐리어를 놓쳐 캐리어가 10m정도 미끄러져 내려가 앞서가던 고객이 부딛힘,경상
부산경남,부산관리역,경부선,부산역,16,7,15,17,51,금,역,E/S,9번 E/S,여,,무,9번 출구쪽 에스컬레이터를 타고 내려가던 중 캐리어를 가지고 뒤따라오던 고객(가해자)이 에스컬레이터 위에서 캐리어를 놓쳐 캐리어가 10m정도 미끄러져 내려가 앞서가던 고객이 부딛힘,경상
부산경남,마산관리역,경전선,창원역,16,7,16,10,31,토,역,타는곳,타는곳,여,56,무,하이힐을 신은채로 승강장으로 급히 이동중 전도,경상
부산경남,부산고속열차,동해선,태화강역,16,7,16,13,15,토,무궁화,객차승강문,3호차 승강문,여,43,무,내리는 도중 승강문 오동작으로 승강대 출입문에 오른쪽 팔을 부딪힘,경상
부산경남,부산고속열차,동해선,태화강역,16,7,16,17,46,토,무궁화,객차승강문,1호차 승강문,남,69,무,내리는 도중 승강문 오동작으로 승강대 출입문에 머리부분을 부딪힘,경상
부산경남,부산고속열차,경부선,서울역,16,7,21,22,43,목,KTX,객차승강문,15호차 승강문,여,15,무,열차에서 내리던 중 승강출입문에 팔이 끼임,경상
부산경남,마산열차,경부선,원동역,16,7,21,14,2,목,무궁화,객차승강문,3호차 승강문,여,75,무,제1953열차 원동역 정차중 3호차 승강문 오동작으로 승강 문에 오른쪽 발목이 협착,경상
부산경남,부산고속열차,경부선,대전역,16,7,24,15,34,일,KTX,객실출입문,7호차 출입문,여,39,무,대전역에 하차하기 위해 이동 중 객실출입문에 손목이 끼임,경상
부산경남,마산관리역,경전선,마산역,16,7,26,14,37,화,역,E/S,상행 E/S,여,81,무,마산역에 14:33분 도착후 14시 37분경 손자와 할머니가 상행 에스컬레이터 이용 중 할머니가 발을 헛디뎌 넘어짐,경상
부산경남,부산고속열차,경부선,부산역,16,7,27,15,50,수,ITX-새마을,기타,승강문과 타는곳 사이,여,47,무,열차에서 내리던 중 타는곳과 승강문 사이에 발이 빠짐,경상
부산경남,부산고속열차,동해선,경주역,16,7,27,17,25,수,무궁화,객실출입문,3호차 출입문,여,20,무,열차 내 이동중 객실출입문 손잡이 걸쇠부분에 손가락(중지)이 찢어짐,경상
부산경남,부산고속열차,경부선,동대구역,16,7,27,17,16,수,무궁화,객실,1호차 객실안,남,56,무,ATS 오작동으로 열차가 급정차 시 이동 중 왼쪽 어깨를 객실좌석 옆 부분에 부딪힘,경상
부산경남,진주관리역,경전선,하동역,16,7,27,14,12,수,역,E/S,2호기 E/S,여,71,무,14:00분경 하동군 주민(노인4명)들이 신역사 관광차 방문하여 하동역 에스컬레이트 2호기 이용 중 앞 고객이 넘어지면서 연쇄적으로 넘어짐,경상
부산경남,부산고속열차,경부선,동대구역,16,7,28,16,50,목,무궁화,객실출입문,3호차 자동문,여,73,무,객실 자동출입문이 닫히면서 안경이 부서짐,대물
부산경남,밀양관리역,경부선,밀양역,16,7,28,12,50,목,역,계단,타는곳 계단,여,84,무,무궁화호 #1207열차(밀양~부산)를 이용하기 위하여 이동중 승강장 계단에서 발을 헛디뎌 넘어짐,경상
부산경남,부산고속열차,경부선,원동역,16,7,29,9,54,금,무궁화,객차승강문,2호차 승강문,여,75,무,원동역 정차 중 승강문 오동작으로 승강문에 오른발이 끼임,경상
부산경남,부산고속열차,경부선,광명역,16,8,3,23,20,수,KTX,객실,15호차 통로,남,7,무,15호차 통로에서 넘어져 턱부위에 부상,경상
부산경남,부산역,경부선,부산역,16,8,3,15,50,수,역,타는곳,5번 타는곳,여,,무,고객(시각장애인)은 부산역 5번 타는 곳에 대기 중인 KTX #156열차(부산~동대구)에 사회복무요원(이원석)의 도움을 받아 승차하려고 하던 중 승강장과 열차계단 사이에 오른쪽 발이 빠짐,경상
부산경남,부산고속열차,경부선,대전역,16,8,5,21,59,금,KTX,객실,11호차 자동문,남,54,무,KTX 제218열차 동대구역 정차 중 통로에 서 있다가 11호차 객실 출입문에 왼쪽 새끼손가락이 끼임,경상
부산경남,부산역,경부선,부산역,16,8,5,13,30,금,역,E/S,28호 E/S,여,69,무,부산역에 도착하여 케리어 및 무거운 박스를 가지고 에스컬레이터 28호기를 타고 2층으로 올라오던 증 고객이 중심을 잃고 에스컬레이터에서 넘어짐,경상
부산경남,부산고속열차,경부선,서울역,16,8,6,15,30,토,KTX,객실,좌석,여,27,무,좌석 이용 중 좌석에서 먼지가 묻어 옷 소매 및 팔뚝부분에 오염,대물
부산경남,부산고속열차,경부선,광명역,16,8,7,13,0,일,KTX,이동통로,9호차 배풍기,여,2,무,9호차 배풍기 모서리에 부딪혀 약 3mm정도 왼쪽눈썹 부위가 찢어짐,경상
부산경남,부산고속열차,경부선,서울역,16,8,7,1,20,일,무궁화,객실,8호차 18호석,여,25,무,선반위 가방이 떨어져 앉아있던 고객의 머리에 맞아 부상,경상
부산경남,마산역,경전선,마산역,16,8,12,12,5,금,역,E/S,2호기 E/S,남,78,무,마산역에서 #410열차를 이용하려고 오던 중 에스컬레이트 2호기에서 넘어져,경상
부산경남,부산고속열차,경부선,영등포역,16,8,13,18,15,토,무궁화,기타,3호차,여,58,무,3호차(10172) 1위 객실출입문 하부철판 돌출에 끼임,경상
부산경남,마산역,경전선,마산역,16,8,14,13,30,일,역,E/S,2호기 E/S,남,68,무,마산역 광장에서 마산역사 에스컬레이트 2호기 이용중  고객이 넘어짐,경상
부산경남,부산고속열차,경부선,울산역,16,8,18,10,5,목,KTX,객실,5호차 객실,남,24,무,울산역 하차를 위해 5호차 좌석에서 일어나는 도중 넘어짐,경상
부산경남,부산역,경부선,부산역,16,8,19,9,30,금,역,E/S,부산역 입구 E/S,여,56,무,부산역 2층 맞이방으로 올라가는 에스컬레이터를 타고 이동중 본인의 케리어 가방이 넘어지면서 가방과 같이 넘어짐,경상
부산경남,부산고속열차,경부선,대구역,16,8,22,17,0,월,무궁화,기타,승강문과 타는곳 사이,남,8,무,열차에서 내리던 중 승강대 계단과 승강장 사이에 빠짐,경상
부산경남,부산고속열차,경부선,서울역,16,8,23,13,25,화,KTX,객차화장실,13호차 화장실문,남,20,무,화장실 이용 중 오른쪽 손날부분과 새끼손가락이 끼임,경상
부산경남,부산고속열차,경부선,부산역,16,8,24,19,11,수,KTX,객차화장실,화장실내,여,59,무,화장실 이용 중 비상정차로 세면대에 머리를 부딪힘,경상
부산경남,부산고속열차,경부선,구포역,16,8,29,8,35,월,무궁화,객실출입문,5호차 출입문,여,69,무,객실출입문이 닫히면서 왼손 중지와 약지손가락이 끼임,경상
부산경남,구포관리역,경부선,동대구역,16,9,3,15,40,토,무궁화,타는곳,타는곳 기둥,남,,무,제1220열차(구포역15:40도착)에 승차하기 위하여 상선 승강장에서 8호차로 이동 중 마주 걸어오던 어린이를 피하려다 승강장 기둥에 머리를 부딪혀,경상
부산경남,부산고속열차,경부선,동대구역,16,9,4,18,47,일,KTX,객실,6호차,남,6,무,6호차 7AB 좌석에서 여행중이던 박시현 어린이가 대전역을 출발하여 옆좌석으로 이동과정에서 식탁테이블 모서리에 부딪힘,경상
부산경남,부산고속열차,경부선,밀양역,16,9,4,19,45,일,KTX,객차승강문,승강문 계단,남,72,무,열차승차 중 발을 헛디뎌 넘어짐,경상
부산경남,부산고속열차,경부선,동대구역,16,9,9,17,25,금,KTX,객실,10호차,여,50,무,여행 중 객실 내에서 벌에 쏘임,경상
부산경남,밀양관리역,경부선,밀양역,16,9,9,13,47,금,역,E/S,4호기 E/S,여,67,무,밀양역 하선 에스컬레이터(4호기)에서 이이순(85세)고객이 에스컬레이터 4호기를 이용중 뒤로 넘어지는 것을 보고 급하게 몸으로 부축하려다 같이 넘어짐,경상
부산경남,부산고속열차,경부선,대구역,16,9,11,22,40,일,무궁화,객실,좌석,여,60,무,좌석 이용 중 의자시트에 묻은 껌으로 옷이 훼손,대물
부산경남,부산관리역,경부선,부산역,16,9,12,15,50,월,역,E/S,E/S,남,4,무,부산-광명 KTX를 이용하기 위하여 8번 승강장으로 보호자 함께 내려가는 에스컬레이터를 이용 중 이도형(4세)고객이 왼쪽 벽면으로 밀착하면서 오른쪽 신발이 스텝 틈새에 끼어,경상
부산경남,마산관리역,경전선,창원역,16,9,16,12,10,금,역,E/S,8호기 E/S,남,76,무,부상고객은 부부로 남편이 먼저 승차 후 뒤따르던 부인이 안전하게 승차했는지 확인하기 위해 뒤돌아보던 중 중심을 잃고 넘어짐,경상
부산경남,마산관리역,경전선,창원역,16,9,16,12,10,금,역,E/S,8호기 E/S,여,71,무,남편이 먼저 넘어지면서 뒤따르던 부인도 연쇄적으로 넘어짐,경상
부산경남,부산관리역,경부선,부산역,16,9,17,9,40,토,역,계단,계단,여,29,무,부산역에서 열차를 타기 위해 계단으로 내려가다 미끄러져 넘어짐,경상
부산경남,부산고속열차,경부선,경주역,16,9,17,13,45,토,무궁화,객차승강문,계단,여,73,무,열차하차 시 미끄러져 넘어짐,경상
부산경남,부산고속열차,경부선,서울역,16,9,19,16,5,월,KTX,객차승강문,승강문 계단,여,,무,하차 중 넘어짐,경상
부산경남,울산관리역,경부선,서울역,16,9,20,7,10,화,역,E/S,E/S,남,,무,112열차 이용위해 E/S를 타고 가던 중넘어짐,경상
부산경남,울산관리역,경부선,울산역,16,9,20,10,40,화,역,E/S,E/S,여,66,무,#130열차 승차하기 위해 상행E/S를 타고 이동중 3/1정도 지나서 갑자기 현기증이 나서 E/S에서 넘어 짐,경상
부산경남,부산관리역,경부선,울산역,16,9,22,22,20,목,역,타는곳,5번타는곳,남,58,무,부산역 타는 곳 5번으로 이동 중 넘어짐,경상
부산경남,부산관리역,경부선,부산역,16,9,23,15,0,금,역,E/S,E/S,남,48,음주,만취상태인 전용선 고객이 1번 출입구에서 맞이방으로 올라오는 에스컬레이터를 이용 중 중심을 잃고 넘어짐,경상
부산경남,밀양관리역,경부선,밀양역,16,9,25,8,50,일,역,역광장,광장,여,81,무,광장 바닥 돌출물에 걸려 넘어짐,경상
부산경남,부산고속열차,경부선,서울역,16,9,26,18,38,월,ITX-새마을,객실,좌석,여,74,무,좌석 이용 중 의자시트에 묻은 껌으로 외투가 훼손,대물
부산경남,부산고속열차,경부선,서울역,16,9,29,13,10,목,KTX,기타,장애인 리프트,여,55,무,장애인 리프트에 왼쪽 손등을 부딪쳐 타박상을 입은 사고,경상
부산경남,부산고속열차,경부선,서울역,16,9,29,9,0,목,KTX,객실,좌석,남,,무,좌석 이용 중 의자시트에 묻은 껌으로 바지가 훼손,대물
부산경남,밀양관리역,경부선,밀양역,16,9,29,8,20,목,역,맞이방,맞이방,남,64,무,밀양역 맞이방에서 대기하던 중 지네에게 발을 물림,경상
부산경남,울산관리여,동해선,태화강역,16,10,4,14,56,화,역,맞이방,복도,여,28,무,제1621열차 하차 고객(여)1명이 맞이방으로 나오던 중 넘어짐,경상
부산경남,밀양관리역,경전선,진영역,16,10,5,10,35,수,역,E/S,E/S,여,48,무,"제1903열차(밀양–마산)를 이용하던 고객이 제1903열차 진영역에 운행중지(태풍으로 선로 유실)하고 버스로 연계수송편을 이용하기 위해 진영역에 하차하여 에스컬레이트로 이동 중 앞에 있던 고객이 기우뚱하며 넘어지면서 고객(김현숙, 여)이 같이 뒤로 굴러 넘어짐",경상
부산경남,부산관리역,경부선,부산역,16,10,5,13,40,수,역,맞이방,복도,남,79,무,열차를 타기 위하여 부산역 맞이방 파크 하얏트 호텔 물품보관소 부근에서 본인의 과실로 넘어짐,경상
부산경남,부산고속열차,경부선,울산역,16,10,8,0,30,토,KTX,객차화장실,8호차,남,46,무,화장실 세면대 이용 중 압력에 의해 물이 튀어 올라 상․하의가 오염,대물
부산경남,부산고속열차,경부선,동대구역,16,10,9,15,30,토,무궁화,객차승강문,5호차,여,66,무,열차에서 하차 중 승강문에 끼임,경상
부산경남,부산고속열차,동해선,호계역,16,10,9,13,23,일,무궁화,객차승강문,승강문 계단,여,23,무,열차정차 중 승강문 오동작으로 승강문에 끼임,경상
부산경남,부산고속열차,동해선,호계역,16,10,9,13,23,월,무궁화,객차승강문,승강문 계단,여,57,무,열차정차 중 승강문 오동작으로 승강문에 끼임,경상
부산경남,부산관리역,경부선,부산역,16,10,13,17,35,목,역,타는곳,6번타는곳,남,46,무,"부산역에 도착, 승무원의 도움으로 부산역 6번 타는 곳에서 열차에서 내 리다 발을 혓디뎌 열차승강대와 타는 곳 사이의 공간으로 왼쪽 다리가 빠짐",경상
부산경남,부산고속열차,동해선,경주역,16,10,15,11,20,토,무궁화,객실출입문,출입문 잠금장치,남,61,무,객실 이동 중 객실출입문 잠금장치에 걸려 오른손 엄지손가락에 찰과상을 입은 사고,경상
부산경남,부산고속열차,경부선,대구역,16,10,15,18,20,토,무궁화,객차승강문,입구,여,,무,열차승차 중 승강문 오작동으로 양쪽 손바닥 끝에 찰과상을 입은 사고,경상
부산경남,구포관리역,경부선,구포역,16,10,16,17,10,일,역,맞이방,입구,남,,무,열차시간을 알아보기 위해 구포역 1층 맞이방 입구로 들어오던 중 우천으로 바닥에 미끄러져 넘어짐,경상
부산경남,부산관리역,경부선,부산역,16,10,16,19,5,일,역,객차승강문,승강문 계단,여,38,무,8번 타는 곳에 대기 중인 KTX #336열차(부산~ 동대구)를 승차 중 열차승강대에서 미끄러져 왼쪽 정강이 부분에 찰과상과 타박상을 입음,경상
부산경남,구포관리역,경부선,구포역,16,10,18,15,30,화,역,E/S,E/S,여,76,무,구포역에 하차하여 남쪽 E/S를 타고 이동하던 중 앞에 서서 가던 다른 할머니가 E/S 손잡이를 잡지 않고 손잡이 밖에 있는 지지대를 잡고 이동하다가 상체가 뒤로 밀려 넘어지면서 뒤에 타고 있던 고객 3명이 넘어짐,경상
부산경남,구포관리역,경부선,구포역,16,10,18,7,30,화,역,E/S,E/S,여,76,무,#1341열차에서 하차한 고객이 E/S 이용중 발을 헛디뎌 넘어짐,경상
부산경남,부산관리역,경부선,부산역,16,10,20,13,10,목,역,화장실,2층 북,남,79,무,부산역에 도착 후 2층 북쪽 남자화장실을 이용하려다 화장실 입구에서 넘어짐,경상
부산경남,부산고속열차,동해선,호계역,16,10,20,20,30,목,무궁화,객차승강문,입구,여,57,음주,하차를 위해 서 있던 중 객실 출입문이 닫히면서 부딪쳐 승강문쪽으로 넘어짐,경상
부산경남,부산고속열차,동해선,태화강역,16,10,20,13,10,목,무궁화,객차승강문,입구,남,60,무,유모차를 올려주고 하차 시 열차 승강문에 우측 팔목이 끼임,경상
부산경남,밀양관리역,경전선,진영역,16,10,21,14,0,금,역,E/S,E/S,여,65,무,진영역에 하차하여 에스컬레이트로 이동 중 기우뚱하며 뒤로 넘어짐,경상
부산경남,부산고속열차,경부선,김천역,16,10,23,20,53,일,무궁화,객차승강문,입구,여,42,무,양손에 짐을 들고 하차 중 발목을 접지른 사고,경상
부산경남,부산고속열차,경부선,부산역,16,10,24,11,30,월,무궁화,객차화장실,문,여,75,무,화장실문틈에 오른손 검지와 중지가 끼임,경상
부산경남,부산고속열차,경부선,서울역,16,10,27,18,40,목,KTX,객차승강문,입구,남,,음주,열차승차 후 만취상태에서 다시 하차하다가 승강장으로 넘어짐,경상
부산경남,울산관리역,경부선,울산역,16,10,29,21,45,토,역,기타,승강문과 타는곳 사이,남,5,무,고객(父)을 마중하기 위해 하행 승강장에서 기다리다가 열차가 정차하자 10호차 부근에서 열차 출입문을 향해 뛰어가다 열차와 승강장 틈 사이로 빠짐,경상
부산경남,마산관리역,경전선,창원역,16,10,29,14,22,토,역,E/S,E/S,여,64,무,#1271열차(경산➞창원) 하차 후 에스컬레이트 8호기를 타고 이동중 먼저 타고가는 사람이 중심을 잃고 넘어지면서 뒤따르던 고객도 넘어짐,경상
부산경남,부전관리역,동해선,수영역,16,10,29,10,0,토,역,E/S,E/S,여,62,무,#1771열차 하차하여 4번 E/S 이용하여 맞이방으로 내려가던 중 다른 고객과 부딪쳐 넘어짐,경상
부산경남,부산고속열차,경부선,동대구역,16,10,30,14,10,일,새마을,객실출입문,입구,여,56,무,객실출입문에 머리가 끼임,경상
부산경남,부산고속열차,경부선,부산역,16,6,1,8,5,수,KTX,객실,좌석,여,58,무,선반위에 올려놓은 가방이 고객의 머리위로 떨어짐,경상
부산경남,부산고속열차,경부선,부산역,16,5,29,16,40,일,KTX,객실출입문,출입문,남,65,무,승차 중 객실출입문에 오른쪽 어깨가 부딪힘,경상
부산경남,부산고속열차,경부선,VOC,16,11,12,21,0,토,KTX,객실,통로간이의자,여,,무,간이의자에 앉다가 넘어져 승강대 손잡이에 머리를 부딪힘,경상
부산경남,부산고속열차,경부선,부산역,16,11,12,12,53,토,무궁화,객실,8호차 5석,여,56,무,객실난방 방열판의 고열에 종아리 부위에 화상을 입음,경상
부산경남,부산고속열차,경부선,부산역,16,11,12,12,53,토,무궁화,객실,8호차 1~2석,여,31,무,객실난방 방열판의 고열에 종아리 부위에 화상을 입음,경상
